baseline transfer:212174/212126/d262144, reshape1x8:157049/156987/d262144, reshape8x1:185925/186308/d262144, withdrawal:119090/119143/d131072, seizure:16604/16686/d32768, disclosure:159226/158090/d262144, history_generation:15123/15166/d16384, history_chunk10:143357/143740/d262144
run-bundle-width11-eq transfer:204511/204426/d262144, reshape1x8:153460/153362/d262144, reshape8x1:179676/180023/d262144, withdrawal:114550/114566/d131072, seizure:16224/16306/d16384, disclosure:90949/89846/d131072, history_generation:13330/13368/d16384, history_chunk10:130261/130657/d131072
run-bundle-width10 transfer:204757/204672/d262144, reshape1x8:153706/153608/d262144, reshape8x1:179922/180269/d262144, withdrawal:114796/114812/d131072, seizure:16224/16306/d16384, disclosure:90949/89846/d131072, history_generation:13576/13614/d16384, history_chunk10:120993/121353/d131072
run-authorization transfer:211674/211627/d262144, reshape1x8:156549/156488/d262144, reshape8x1:185425/185809/d262144, withdrawal:118590/118644/d131072, seizure:16604/16686/d32768, disclosure:159226/158090/d262144, history_generation:15123/15166/d16384, history_chunk10:143357/143740/d262144
run-tree transfer:211214/211166/d262144, reshape1x8:156601/156539/d262144, reshape8x1:184133/184516/d262144, withdrawal:118258/118311/d131072, seizure:16412/16494/d32768, disclosure:159226/158090/d262144, history_generation:14963/15006/d16384, history_chunk10:141757/142140/d262144
run-bundle-width8-eq transfer:204511/204426/d262144, reshape1x8:153460/153362/d262144, reshape8x1:179676/180023/d262144, withdrawal:114550/114566/d131072, seizure:16224/16306/d16384, disclosure:90949/89846/d131072, history_generation:13330/13368/d16384, history_chunk10:95077/95365/d131072
run-bundle-width10-eq-cap1 transfer:204511/204426/d262144, reshape1x8:153460/153362/d262144, reshape8x1:179676/180023/d262144, withdrawal:114550/114566/d131072, seizure:16224/16306/d16384, disclosure:5172/5123/d8192, history_generation:13330/13368/d16384, history_chunk10:118533/118893/d131072
run-routing-tree-authorization-range transfer:209753/209675/d262144, reshape1x8:155140/155048/d262144, reshape8x1:182672/183025/d262144, withdrawal:116797/116820/d131072, seizure:16412/16494/d32768, disclosure:159226/158090/d262144, history_generation:14963/15006/d16384, history_chunk10:141757/142140/d262144
run-bundle-width10-eq transfer:204511/204426/d262144, reshape1x8:153460/153362/d262144, reshape8x1:179676/180023/d262144, withdrawal:114550/114566/d131072, seizure:16224/16306/d16384, disclosure:90949/89846/d131072, history_generation:13330/13368/d16384, history_chunk10:118533/118893/d131072
run-routing transfer:211213/211134/d262144, reshape1x8:156088/155995/d262144, reshape8x1:184964/185316/d262144, withdrawal:118129/118151/d131072, seizure:16604/16686/d32768, disclosure:159226/158090/d262144, history_generation:15123/15166/d16384, history_chunk10:143357/143740/d262144
run-bundle-width12-eq transfer:204511/204426/d262144, reshape1x8:153460/153362/d262144, reshape8x1:179676/180023/d262144, withdrawal:114550/114566/d131072, seizure:16224/16306/d16384, disclosure:90949/89846/d131072, history_generation:13330/13368/d16384, history_chunk10:141989/142421/d262144
run-range-disclosure transfer:212174/212126/d262144, reshape1x8:157049/156987/d262144, reshape8x1:185925/186308/d262144, withdrawal:119090/119143/d131072, seizure:16604/16686/d32768, disclosure:109066/107930/d131072, history_generation:15123/15166/d16384, history_chunk10:143357/143740/d262144
run-bundle-width9-eq transfer:204511/204426/d262144, reshape1x8:153460/153362/d262144, reshape8x1:179676/180023/d262144, withdrawal:114550/114566/d131072, seizure:16224/16306/d16384, disclosure:90949/89846/d131072, history_generation:13330/13368/d16384, history_chunk10:106805/107129/d131072
